epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1576.98,0.36772,0.32179,0.81672,0.97694,0.97044,0.98735,0.93512,0.33696,0.29641,0.78585,0.000615781,0.000615781,0.000615781
43,1602.98,0.37453,0.32112,0.80665,0.98354,0.95479,0.98625,0.93122,0.35422,0.28356,0.78541,0.000600313,0.000600313,0.000600313
44,1629.16,0.36004,0.31513,0.80537,0.99434,0.96444,0.98765,0.93821,0.3441,0.28189,0.78318,0.000584844,0.000584844,0.000584844
45,1655.75,0.3606,0.3115,0.80562,0.99626,0.9701,0.98763,0.92092,0.3548,0.27836,0.786,0.000569375,0.000569375,0.000569375
46,1682.57,0.35348,0.30544,0.7995,0.99536,0.98551,0.98874,0.92819,0.35338,0.27541,0.7879,0.000553906,0.000553906,0.000553906
47,1709.36,0.37246,0.31662,0.81359,0.97362,0.98862,0.98759,0.91159,0.38664,0.29328,0.78658,0.000538438,0.000538438,0.000538438
48,1734.81,0.34503,0.29044,0.80524,0.97153,0.98547,0.98729,0.92192,0.36337,0.2818,0.79053,0.000522969,0.000522969,0.000522969
49,1761.35,0.3444,0.30035,0.80022,0.99519,0.98032,0.98849,0.90389,0.40566,0.2784,0.7955,0.0005075,0.0005075,0.0005075
50,1787.54,0.34564,0.29932,0.80322,0.99278,0.96743,0.98811,0.92811,0.35461,0.26257,0.78809,0.000492031,0.000492031,0.000492031
51,1813.62,0.33901,0.2983,0.79864,0.97393,0.98753,0.98765,0.92008,0.36355,0.26551,0.78993,0.000476562,0.000476562,0.000476562
52,1839.15,0.35153,0.29822,0.8048,0.99153,0.95367,0.98625,0.93493,0.32981,0.26852,0.78125,0.000461094,0.000461094,0.000461094
53,1865.06,0.35354,0.30747,0.80626,0.98065,0.98842,0.99043,0.92285,0.35711,0.26642,0.78978,0.000445625,0.000445625,0.000445625
54,1891.59,0.36694,0.30148,0.81068,0.99499,0.98231,0.9891,0.93541,0.33974,0.26996,0.78711,0.000430156,0.000430156,0.000430156
55,1917.89,0.34007,0.29271,0.80798,0.9958,0.98085,0.9901,0.92528,0.37226,0.26785,0.79023,0.000414688,0.000414688,0.000414688
